city,date,hour,rolling_avg_temperature_c,rolling_avg_pressure_mm,is_rain_start
St. Petersburg,2024-02-15,22,-5.0,769.0,False
St. Petersburg,2024-02-15,23,-4.75,769.0,False
St. Petersburg,2024-02-16,0,-4.0,769.0,False
St. Petersburg,2024-02-16,1,-4.0,769.0,False
St. Petersburg,2024-02-16,2,-4.0,769.0,False
St. Petersburg,2024-02-16,3,-4.0,769.25,False
St. Petersburg,2024-02-16,4,-4.0,769.25,False
St. Petersburg,2024-02-16,5,-4.0,769.25,False
St. Petersburg,2024-02-16,6,-4.25,769.5,False
St. Petersburg,2024-02-16,7,-4.5,769.5,False
St. Petersburg,2024-02-16,8,-5.0,769.75,False
St. Petersburg,2024-02-16,9,-5.75,770.0,False
St. Petersburg,2024-02-16,10,-6.25,769.75,False
St. Petersburg,2024-02-16,11,-6.5,769.5,False
St. Petersburg,2024-02-16,12,-6.5,769.5,False
St. Petersburg,2024-02-16,13,-6.25,769.25,False
St. Petersburg,2024-02-16,14,-5.75,769.0,False
St. Petersburg,2024-02-16,15,-5.5,769.0,False
St. Petersburg,2024-02-16,16,-5.25,768.5,False
St. Petersburg,2024-02-16,17,-5.0,768.0,False
St. Petersburg,2024-02-16,18,-5.0,767.75,False
St. Petersburg,2024-02-16,19,-5.0,767.0,False
St. Petersburg,2024-02-16,20,-5.0,766.25,False
St. Petersburg,2024-02-16,21,-5.0,765.5,True
St. Petersburg,2024-02-16,22,-4.75,764.5,False
St. Petersburg,2024-02-16,23,-4.5,763.5,False
St. Petersburg,2024-02-17,0,-4.0,761.0,True
St. Petersburg,2024-02-17,1,-4.0,760.0,False
St. Petersburg,2024-02-17,2,-3.6666666666666665,759.3333333333334,False
St. Petersburg,2024-02-17,3,-3.25,758.75,False
St. Petersburg,2024-02-17,4,-2.75,757.5,False
St. Petersburg,2024-02-17,5,-2.0,756.5,False
St. Petersburg,2024-02-17,6,-1.25,755.75,False
St. Petersburg,2024-02-17,7,-0.5,754.75,False
St. Petersburg,2024-02-17,8,0.25,754.0,False
St. Petersburg,2024-02-17,9,1.0,753.25,False
St. Petersburg,2024-02-17,10,1.5,752.25,False
St. Petersburg,2024-02-17,11,1.75,751.75,False
St. Petersburg,2024-02-17,12,2.25,751.25,False
St. Petersburg,2024-02-17,13,2.5,750.75,False
St. Petersburg,2024-02-17,14,2.75,750.5,False
St. Petersburg,2024-02-17,15,3.0,750.25,False
St. Petersburg,2024-02-17,16,3.0,750.0,False
St. Petersburg,2024-02-17,17,3.0,750.0,False
St. Petersburg,2024-02-17,18,2.75,750.25,False
St. Petersburg,2024-02-17,19,2.25,750.5,False
St. Petersburg,2024-02-17,20,1.75,751.0,False
St. Petersburg,2024-02-17,21,1.0,751.75,False
St. Petersburg,2024-02-17,22,0.25,752.25,False
St. Petersburg,2024-02-17,23,-0.5,753.0,False
St. Petersburg,2024-02-18,0,-2.0,755.0,True
St. Petersburg,2024-02-18,1,-2.0,755.0,False
St. Petersburg,2024-02-18,2,-2.3333333333333335,755.3333333333334,False
St. Petersburg,2024-02-18,3,-2.5,755.75,False
St. Petersburg,2024-02-18,4,-2.75,756.25,False
St. Petersburg,2024-02-18,5,-3.0,757.0,False
St. Petersburg,2024-02-18,6,-3.0,757.75,False
St. Petersburg,2024-02-18,7,-3.25,758.25,False
St. Petersburg,2024-02-18,8,-3.5,759.0,False
St. Petersburg,2024-02-18,9,-3.75,759.75,False
St. Petersburg,2024-02-18,10,-4.0,760.25,False
St. Petersburg,2024-02-18,11,-4.0,760.75,False
St. Petersburg,2024-02-18,12,-4.0,761.5,False
St. Petersburg,2024-02-18,13,-4.0,762.0,False
Tula,2024-02-15,0,-9.0,754.0,True
Tula,2024-02-15,1,-9.0,753.5,False
Tula,2024-02-15,2,-9.0,753.3333333333334,False
Tula,2024-02-15,3,-9.25,753.75,False
Tula,2024-02-15,4,-9.5,753.5,False
Tula,2024-02-15,5,-9.5,753.5,False
Tula,2024-02-15,6,-9.75,753.75,False
Tula,2024-02-15,7,-9.75,753.25,False
Tula,2024-02-15,8,-9.75,753.25,False
Tula,2024-02-15,9,-10.0,753.75,False
Tula,2024-02-15,10,-10.0,753.75,False
Tula,2024-02-15,11,-10.0,754.0,False
Tula,2024-02-15,12,-9.75,754.5,False
Tula,2024-02-15,13,-9.5,754.25,False
Tula,2024-02-15,14,-9.25,754.25,False
Tula,2024-02-15,15,-9.0,754.75,False
Tula,2024-02-15,16,-9.0,754.5,False
Tula,2024-02-15,17,-9.0,754.5,False
Tula,2024-02-15,18,-9.0,755.0,False
Tula,2024-02-15,19,-9.0,754.75,False
Tula,2024-02-15,20,-9.0,755.0,False
Tula,2024-02-15,21,-9.0,755.5,False
Tula,2024-02-15,22,-9.0,755.25,False
Tula,2024-02-15,23,-9.0,755.25,False
Tula,2024-02-16,0,-9.0,756.0,True
Tula,2024-02-16,1,-8.5,755.5,False
Tula,2024-02-16,2,-8.333333333333334,755.3333333333334,False
Tula,2024-02-16,3,-8.25,755.5,False
Tula,2024-02-16,4,-8.0,755.25,False
Tula,2024-02-16,5,-8.0,755.25,False
Tula,2024-02-16,6,-8.0,755.5,False
Tula,2024-02-16,7,-8.0,755.25,False
Tula,2024-02-16,8,-8.0,755.25,False
Tula,2024-02-16,9,-8.0,755.75,False
Tula,2024-02-16,10,-8.0,755.75,False
Tula,2024-02-16,11,-7.75,756.0,False
Tula,2024-02-16,12,-7.5,756.5,False
Tula,2024-02-16,13,-7.0,756.25,False
Tula,2024-02-16,14,-6.5,756.0,False
Tula,2024-02-16,15,-6.25,756.0,False
Tula,2024-02-16,16,-6.0,755.5,False
Tula,2024-02-16,17,-6.0,755.25,False
Tula,2024-02-16,18,-6.0,755.75,False
Tula,2024-02-16,19,-6.0,755.75,False
Tula,2024-02-16,20,-6.0,755.75,False
